,geography,value,geography_group
423,53035091000.0,16206.824195906433,Census2010Tract
424,53035091100.0,64720.837197580644,Census2010Tract
425,53035091201.0,73459.55981682886,Census2010Tract
426,53035091203.0,71799.78100637846,Census2010Tract
427,53035091204.0,73117.70702341138,Census2010Tract
428,53035091301.0,35281.779359430606,Census2010Tract
429,53035091302.0,69257.36558627264,Census2010Tract
430,53035091400.0,74510.48815889993,Census2010Tract
431,53035091500.0,67424.68064290706,Census2010Tract
432,53035091600.0,65905.59756097561,Census2010Tract
433,53035091700.0,62099.73902523332,Census2010Tract
434,53035091800.0,65194.90775862069,Census2010Tract
435,53035091900.0,67133.1869814933,Census2010Tract
436,53035092000.0,20312.169972948603,Census2010Tract
437,53035092100.0,44728.27605224964,Census2010Tract
438,53035092200.0,56962.20188474085,Census2010Tract
439,53035092300.0,40982.36371379898,Census2010Tract
440,53035092400.0,30855.008213552363,Census2010Tract
441,53035092500.0,26788.08302919708,Census2010Tract
442,53035092600.0,15695.463963963964,Census2010Tract
443,53035092701.0,28691.614065180103,Census2010Tract
444,53035092704.0,25377.18544600939,Census2010Tract
445,53035092801.0,38987.51470588235,Census2010Tract
446,53035092802.0,36789.95303694427,Census2010Tract
447,53035092803.0,51362.614425645595,Census2010Tract
448,53035092901.0,34686.336182336185,Census2010Tract
449,53035092902.0,52364.25862068965,Census2010Tract
450,53035940000.0,20426.80027739251,Census2010Tract
451,53035940100.0,34641.27382297552,Census2010Tract
452,53035990100.0,0.0,Census2010Tract
453,53053060200.0,277247.70242214535,Census2010Tract
454,53053060300.0,191034.52594853903,Census2010Tract
455,53053060400.0,197650.34564958283,Census2010Tract
456,53053060500.0,216019.44378346222,Census2010Tract
457,53053060600.0,232386.594461305,Census2010Tract
458,53053060700.0,213427.248172043,Census2010Tract
459,53053060800.0,201189.72782608695,Census2010Tract
460,53053060903.0,193350.3613037448,Census2010Tract
461,53053060904.0,196071.31228070176,Census2010Tract
462,53053060905.0,200628.26158833064,Census2010Tract
463,53053060906.0,201527.7033707865,Census2010Tract
464,53053061001.0,193732.2530589544,Census2010Tract
465,53053061002.0,200365.84829443446,Census2010Tract
466,53053061100.0,213136.43253826984,Census2010Tract
467,53053061200.0,241094.44942123804,Census2010Tract
468,53053061300.0,252854.58774834438,Census2010Tract
469,53053061400.0,248171.92896174864,Census2010Tract
470,53053061500.0,242951.85393888422,Census2010Tract
471,53053061601.0,252054.18059936908,Census2010Tract
472,53053061602.0,261960.4268041237,Census2010Tract
473,53053061700.0,265362.18551150267,Census2010Tract
474,53053061800.0,261545.0201096892,Census2010Tract
475,53053061900.0,278952.1501877347,Census2010Tract
476,53053062000.0,291843.63337393425,Census2010Tract
477,53053062300.0,283007.46226415096,Census2010Tract
478,53053062400.0,264314.3002806361,Census2010Tract
479,53053062500.0,257526.462647929,Census2010Tract
480,53053062600.0,243134.10306748466,Census2010Tract
481,53053062801.0,231398.15272195835,Census2010Tract
482,53053062802.0,234856.85475578406,Census2010Tract
483,53053062900.0,245614.8077288565,Census2010Tract
484,53053063000.0,247768.5978928885,Census2010Tract
485,53053063100.0,246454.88993710693,Census2010Tract
486,53053063200.0,250785.46878422782,Census2010Tract
487,53053063300.0,268379.5630756908,Census2010Tract
488,53053063400.0,240374.1258457375,Census2010Tract
489,53053063501.0,243816.6970074813,Census2010Tract
490,53053063502.0,238507.49064327485,Census2010Tract
491,53053070100.0,15403.731764705883,Census2010Tract
492,53053070203.0,51516.442287694976,Census2010Tract
493,53053070204.0,73779.0,Census2010Tract
494,53053070205.0,57792.851485148516,Census2010Tract
495,53053070206.0,24101.53091140854,Census2010Tract
496,53053070207.0,43404.85211626721,Census2010Tract
497,53053070307.0,94975.82686902754,Census2010Tract
498,53053070308.0,132287.87218045112,Census2010Tract
499,53053070309.0,98808.04284412033,Census2010Tract
500,53053070310.0,85052.62332361516,Census2010Tract
501,53053070311.0,79054.30391547545,Census2010Tract
502,53053070312.0,104431.54892823858,Census2010Tract
503,53053070313.0,143701.1052631579,Census2010Tract
